POLLSTER,LINK,Start Date,End Date,SAMPLE,MOE,TRUMP (R),HARRIS (D),SPREAD,"TRUMP AVERAGE 
(14-day rolling)","HARRIS AVERAGE
(14-day rolling)","AVERAGE SPREAD
(14-day rolling)"
Rasmussen Reports,,2024-07-24,2024-07-31,2163 LV,2,49,44,Trump +5,47.71,46.16,Trump +1.55
Daily Kos/Civiqs,,2024-07-27,2024-07-30,1123 RV,3,45,49,Harris +4,47.79,46.16,Trump +1.63
Big Data/Public Poll,,2024-07-28,2024-07-30,3097 RV,-,47.2,46.2,Trump +1,47.79,46.16,Trump +1.63
American Pulse Resea,,2024-07-26,2024-07-29,1035 LV,-,48.3,49.5,Harris +1.2,47.67,45.95,Trump +1.72
ActiVote,,2024-07-24,2024-07-29,1000 LV,-,51.3,48.7,Trump +2.6,47.67,45.95,Trump +1.72
McLaughlin & Associa,,2024-07-23,2024-07-29,1000 LV,-,47,45,Trump +2,47.67,45.95,Trump +1.72
Harvard-Harris,,2024-07-26,2024-07-28,2196 RV,2.1,52,48,Trump +4,47.57,45.72,Trump +1.85
Reuters/Ipsos,,2024-07-26,2024-07-28,879 RV,3.5,42,43,Harris +1,47.57,45.72,Trump +1.85
Morning Consult,,2024-07-26,2024-07-28,11538 RV,1,46,47,Harris +1,47.57,45.72,Trump +1.85
Ipsos/Reuters,,2024-07-26,2024-07-28,1025 A,-,42,43,Harris +1,47.57,45.72,Trump +1.85
Leger,,2024-07-26,2024-07-28,894 RV,-,47,47,Tie,47.57,45.72,Trump +1.85
Florida Atlantic Uni,,2024-07-26,2024-07-27,952 LV,-,46,46,Tie,47.87,45.74,Trump +2.13
Wall Street Journal,,2024-07-23,2024-07-25,1000 RV,3.1,49,47,Trump +2,47.93,45.74,Trump +2.19
Forbes/HarrisX,,2024-07-22,2024-07-25,3013 RV,1.8,51,49,Trump +2,47.93,45.74,Trump +2.19
Angus Reid Institute,,2024-07-23,2024-07-25,1743 RV,-,42,44,Harris +2,47.93,45.74,Trump +2.19
AtlasIntel,,2024-07-23,2024-07-25,1980 RV,-,50.1,48,Trump +2.1,47.93,45.74,Trump +2.19
Morning Consult,,2024-07-23,2024-07-25,4000 RV,-,45,46,Harris +1,47.93,45.74,Trump +2.19
HarrisX/Forbes,,2024-07-22,2024-07-25,3013 RV,-,47,45,Trump +2,47.93,45.74,Trump +2.19
NY Times/Siena,,2024-07-22,2024-07-24,1142 LV,—,48,47,Trump +1,48.04,45.44,Trump +2.60
Rasmussen Reports,,2024-07-22,2024-07-24,1074 LV,3,50,43,Trump +7,48.04,45.44,Trump +2.60
Morning Consult,,2024-07-22,2024-07-24,11297 RV,1,45,46,Harris +1,48.04,45.44,Trump +2.60
Siena College Poll/N,,2024-07-22,2024-07-24,1142 LV,-,48,46,Trump +2,48.04,45.44,Trump +2.60
CNN,,2024-07-22,2024-07-23,1631 RV,3,49,46,Trump +3,48.2,45.92,Trump +2.28
Reuters/Ipsos,,2024-07-22,2024-07-23,1018 RV,3,42,44,Harris +2,48.2,45.92,Trump +2.28
ActiVote,,2024-07-21,2024-07-23,1000 LV,-,50.5,49.5,Trump +1,48.2,45.92,Trump +2.28
NPR/PBS/Marist,,2024-07-22,2024-07-22,1117 RV,3.5,46,45,Trump +1,48.23,45.94,Trump +2.29
Morning Consult,,2024-07-21,2024-07-22,4001 RV,—,47,45,Trump +2,48.23,45.94,Trump +2.29
